Fecha,Día,Sedes,Resultado,GF,GC,Adversario,Formación,Árbitro,Anfitrion,Edad(opp),Pos.(opp),Ass(opp),TPint(opp),PrgC(opp),PrgP(opp),% de TT(opp),Dist(opp),% Cmp(opp),Dist. tot.(opp),TklG(opp),Int(opp),Err(opp),RL(opp),PG(opp),PE(opp),PP(opp),GF(opp),GC(opp),xG(opp),xGA(opp),Últimos 5(opp),Máximo Goleador del Equipo(opp),Edad(tm),Pos.(tm),Ass(tm),TPint(tm),PrgC(tm),PrgP(tm),% de TT(tm),Dist(tm),% Cmp(tm),Dist. tot.(tm),TklG(tm),Int(tm),Err(tm),RL(tm),PG(tm),PE(tm),PP(tm),GF(tm),GC(tm),xG(tm),xGA(tm),Últimos 5(tm),Máximo Goleador del Equipo(tm)
2023-08-13,7,0,2,0,0,Getafe,4-2-3-1,César Soto,Barcelona,27.2,44.5,2.0,1.0,72.0,171.0,19.0,21.5,65.2,25686.0,66.0,32.0,2.0,18.0,0.0,4.0,2.0,3.0,5.0,5.0,5.2,3.0,1.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-08-20,7,1,3,2,0,Cádiz,3-4-3,Alejandro Muñíz,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-08-27,7,0,3,4,3,Villarreal,4-3-3,Alejandro Hernández,Barcelona,28.0,42.7,8.0,1.0,94.0,225.0,32.5,15.7,81.5,40449.0,49.0,42.0,2.0,6.0,3.0,2.0,1.0,12.0,13.0,9.6,10.2,10.0,4.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-09-03,7,0,3,2,1,Osasuna,4-3-3,Miguel Ángel Ortiz Arias,Barcelona,27.5,45.3,3.0,1.0,91.0,184.0,32.2,16.6,73.8,33880.0,57.0,49.0,2.0,8.0,3.0,1.0,2.0,8.0,11.0,5.5,8.1,9.0,1.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-09-16,6,1,3,5,0,Betis,4-3-3,José Sánchez,Barcelona,28.1,55.2,4.0,1.0,109.0,270.0,28.6,18.1,82.8,45433.0,62.0,48.0,2.0,11.0,2.0,2.0,2.0,6.0,6.0,9.1,5.9,7.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-09-23,6,1,3,3,2,Celta Vigo,4-3-3,Mario Melero,Barcelona,26.6,56.3,8.0,2.0,105.0,258.0,45.6,15.7,85.2,50856.0,44.0,39.0,2.0,9.0,3.0,0.0,3.0,14.0,13.0,9.6,8.1,6.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-09-26,2,0,2,2,2,Mallorca,4-3-3,Alejandro Muñíz,Barcelona,28.9,44.4,4.0,1.0,99.0,226.0,36.6,16.7,77.9,43384.0,70.0,62.0,2.0,5.0,3.0,2.0,2.0,6.0,5.0,6.0,5.6,10.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-09-29,5,1,3,1,0,Sevilla,4-3-3,Miguel Ángel Ortiz Arias,Barcelona,26.5,56.8,4.0,0.0,101.0,214.0,35.7,19.1,81.6,41251.0,60.0,47.0,1.0,15.0,1.0,2.0,3.0,5.0,8.0,6.5,7.2,4.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-10-08,7,0,2,2,2,Granada,4-3-3,César Soto,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-10-22,7,1,3,1,0,Athletic Club,4-3-3,Juan Martínez,Barcelona,27.2,46.9,9.0,1.0,106.0,283.0,35.9,17.4,78.4,44080.0,51.0,69.0,6.0,3.0,4.0,1.0,2.0,11.0,7.0,6.7,8.1,12.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
